year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2016,9,Barnstable County,MA,hermine,EX,2,1,1,1,3183.105,3244.48,20,1010,3,0.006180707,4.9,3864,94351,161632,208698700,999
2011,8,Berkshire County,MA,irene,TS,12,1,1,1,34273.714,20843.452,50,970,1.412698413,0.003858803,8.3,208100,55793,68415,38191100,264
2018,9,Berkshire County,MA,florence,EX,2,1,1,1,27001.416,16582.642,25,1006,0.545454545,0.000434292,7.9,894,55167,69078,4043300,30
2013,6,Bristol County,MA,andrea,EX,2,1,1,1,184520.637,284510.43,40,998,1,0.002761903,9.4,278100,210037,230276,117775700,636
2011,8,Franklin County,MA,irene,EX,2,1,1,1,-19792.843,-11842.249,50,976,0.857142857,0.00092081,8.7,223200,30362,33666,6143900,31
2016,9,Nantucket County,MA,hermine,EX,2,1,1,1,13.959,26.107,25,1010,3,0.007514353,4.6,1154,3836,11844,20595500,89
2013,6,Plymouth County,MA,andrea,EX,2,1,1,1,64416.726,523623.027,40,998,1,0.007583619,5.5,332100,179617,200432,299352200,1520
2013,6,Worcester County,MD,andrea,EX,3,1,1,1,-12.443,-4.036,40,997,2,0.145007725,7.1,253400,20530,55666,1391876700,8072
2011,8,Aroostook County,ME,irene,EX,2,1,1,1,28029.652,31753.219,40,984,3,0.001669111,10.5,88400,30459,39542,6306100,66
2011,8,Franklin County,ME,irene,EX,6,1,1,1,156957.072,145081.806,45,982,0.75,0.001390756,11.2,134300,12235,21571,3582500,30
2017,10,Franklin County,ME,nate,EX,2,1,1,1,79030.167,85927.461,25,1006,0.75,0.000543774,7.6,59,11577,22068,1155200,12
2011,8,Oxford County,ME,irene,EX,13,1,1,1,200768.788,110457.877,45,982,0.75,0.001811392,9.6,144200,23512,35884,8885000,65
2017,10,Oxford County,ME,nate,EX,2,1,1,1,83493.873,133685.822,25,1006,0.75,0.000545197,9.6,62,20756,36684,2211000,20
2017,10,Penobscot County,ME,nate,EX,2,1,1,1,135536.402,161346.689,25,1006,0.75,0.000332372,9.9,126,61848,75217,3332000,25
2011,8,Piscataquis County,ME,irene,EX,2,1,1,1,0,0,40,983,3.75,0.000982704,11.7,106900,7860,15264,1615000,15
2017,10,Piscataquis County,ME,nate,EX,2,1,1,1,29154,42450,25,1006,0.75,0.00032438,12.1,37,7477,15414,608300,5
2011,8,Somerset County,ME,irene,EX,2,1,1,1,63348.676,62620.179,45,982,0.75,0.001412615,14.4,111700,21795,30440,4410200,43
2017,10,Somerset County,ME,nate,EX,2,1,1,1,89818.909,75716.317,25,1006,0.75,0.000324665,12.6,38,21392,30801,830200,10
2017,10,Washington County,ME,nate,EX,2,1,1,1,37951.334,47707.711,25,1006,6.75,0.000430163,12.3,67,14017,23247,1111000,10
2011,9,Forrest County,MS,lee,EX,31,1,1,1,6457,-91,40,995,0.857142857,0.005249672,21.9,112200,28032,32002,14234500,168
2018,9,Forrest County,MS,gordon,TD,8,1,1,1,8521,7644,45,1005,1,0.000879988,18.2,75,28033,32955,3075000,29
2010,8,George County,MS,five,LO,18,1,1,1,1.923,2.085,25,1008,5,0.003967817,12,92400,7858,9073,2577400,36
2017,10,George County,MS,nate,TS,2,1,1,1,57.032,53.113,60,990,0.857142857,0.000951374,9.9,26,7220,9460,861300,9
2018,9,George County,MS,gordon,TS,2,1,1,1,0,0,60,1000,1,0.000631978,9.4,32,7362,9494,889800,6
2010,8,Harrison County,MS,five,LO,35,1,1,1,374612,325472,25,1008,2,0.049704142,12.4,142700,66990,80275,687034200,3990
2017,10,Harrison County,MS,nate,H1,12,1,1,1,180563.932,146853.247,65,984,4.357142857,0.010942336,16.8,280,77630,91114,170126800,997
2018,9,Hinds County,MS,gordon,TD,7,1,1,1,354050.104,346096.148,30,1011.5,3,0.001256462,17,283,88705,104261,19308100,131
2010,8,Jackson County,MS,five,LO,42,1,1,1,1215250,1290285,25,1007,9,0.059212001,11.3,125500,49137,57995,534311100,3434
2017,10,Jackson County,MS,nate,TS,2,1,1,1,917651.668,968008.75,60,990,0.857142857,0.013635111,11,230,50994,61679,140926900,841
2018,9,Jackson County,MS,gordon,TS,2,1,1,1,1025866.005,1089293,60,996,4,0.008076607,11.8,209,51429,62031,81847900,501
2018,9,Jones County,MS,gordon,TD,11,1,1,1,91655,108603,45,1005,1,0.000241529,16.6,32,24774,28982,911000,7
2019,10,Lawrence County,MS,olga,EX,3,1,1,1,45555,45817,45,993,0.952941176,0.000163452,15.2,20,4793,6118,110000,1
2017,9,Leflore County,MS,harvey,TD,2,1,1,1,526.085,3487.969,30,1000,1.2,0.002282063,36,3,10477,13146,3307300,30
2011,9,Perry County,MS,lee,EX,2,1,1,1,36734,36940,40,995,0.857142857,0.007462687,15.1,82200,4709,5494,3323000,41
2018,9,Perry County,MS,gordon,TD,8,1,1,1,31344.192,18332.127,45,1005,1,0.000533808,13.6,16,4563,5620,556500,3
2010,8,Walthall County,MS,five,LO,2,1,1,1,42.73,49.641,25,1009,1.5,0.001839536,16.2,83800,5476,7067,1167000,13
2017,8,Washington County,MS,harvey,TD,2,1,1,1,22158,40902,25,1001,2.4,0.005875006,28.4,0,18249,21617,12746100,127
2018,9,Washington County,MS,gordon,TD,10,1,1,1,58594,84755,20,1014,2,0.002454727,28.1,5,18299,21591,6325300,53
2018,9,Yazoo County,MS,gordon,TD,2,1,1,1,13971,13367,25,1013,1.5,0.000394477,26.3,41,8689,10140,233500,4
2018,10,Alamance County,NC,michael,EX,4,1,1,1,3450.557,3735.698,50,989,0.545454545,0.000215057,12.7,206,64059,69749,3002000,15
2015,5,Bertie County,NC,ana,TD,2,1,1,1,1569.797,2168.992,30,1012,1.2,0.003788267,14.1,9,7408,9767,5564800,37
2015,5,Bladen County,NC,ana,TD,2,1,1,1,1622.914,2250.058,30,1009,5,0.001077281,22.8,113,14401,17637,3335400,19
2012,5,Brunswick County,NC,beryl,LO,2,1,1,1,719750.71,1366652.338,40,998,2,0.064427071,11.9,187000,47181,77514,980010800,4994
2016,9,Brunswick County,NC,hermine,TS,11,1,1,1,1429801.564,1377231.409,55,992,0.857142857,0.030136919,11.3,404,50562,81727,500544700,2463
2018,9,Brunswick County,NC,florence,H1,2,1,1,1,1426620.317,930488.579,65,969,6,0.00916429,9,560,54226,86968,167869000,797
2011,8,Carteret County,NC,irene,H1,3,1,1,1,-8.203,-9.324,75,951.5,9,0.089643222,8.9,208200,28692,47901,738785200,4294
