year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2017,8,Hardee County,FL,emily,TD,2,1,1,1,485971.001,511446,35,1006,2,0.000719868,19.2,51,7718,9724,1256300,7
2017,9,Hardee County,FL,emily,TD,2,1,1,2,485971.001,556677.996,35,1006,2,0.00061703,19.2,51,7718,9724,1106300,6
2017,9,Hardee County,FL,irma,H1,1,1,2,1,485971.001,556677.996,80,955,1,0.00061703,19.2,51,7718,9724,1106300,6
2017,9,Hernando County,FL,irma,TS,2,1,1,1,29253.045,25161.131,65,967,1,0.005109302,10.1,179,72234,85726,76022800,438
2017,10,Hernando County,FL,irma,TS,2,1,1,2,29253.045,33408.756,65,967,1,0.004957656,10.1,179,72234,85726,72444100,425
2017,8,Highlands County,FL,emily,TD,29,1,1,1,477.496,503.16,30,1006,4,0.002270188,12.8,109,41350,55502,19858100,126
2017,9,Highlands County,FL,emily,TD,29,1,1,2,477.496,443.811,30,1006,4,0.002270188,12.8,109,41350,55502,19483100,126
2017,10,Highlands County,FL,emily,TD,29,1,1,3,477.496,406.118,30,1006,4,0.002306223,12.8,109,41350,55502,19664100,128
2017,11,Highlands County,FL,emily,TD,29,1,1,4,477.496,359.196,30,1006,4,0.002342258,12.8,109,41350,55502,18979100,130
2017,12,Highlands County,FL,emily,TD,29,1,1,5,477.496,355.119,30,1006,4,0.002324241,12.8,109,41350,55502,19024300,129
2018,1,Highlands County,FL,emily,TD,29,1,1,6,477.496,68.787,30,1006,4,0.00237504,13.3,120,41026,55578,19930300,132
2018,2,Highlands County,FL,emily,TD,29,1,1,7,477.496,59.84,30,1006,4,0.002321062,13.3,120,41026,55578,19443100,129
2018,3,Highlands County,FL,emily,TD,29,1,1,8,477.496,64.685,30,1006,4,0.002411026,13.3,120,41026,55578,20019600,134
2018,4,Highlands County,FL,emily,TD,29,1,1,9,477.496,68.789,30,1006,4,0.002429019,13.3,120,41026,55578,19840800,135
2018,5,Highlands County,FL,emily,TD,29,1,1,10,477.496,74.985,30,1006,4,0.002357048,13.3,120,41026,55578,20418200,131
2018,6,Highlands County,FL,emily,TD,29,1,1,11,477.496,84.573,30,1006,4,0.002339055,13.3,120,41026,55578,20659300,130
2018,7,Highlands County,FL,emily,TD,29,1,1,12,477.496,86.396,30,1006,4,0.002429019,13.3,120,41026,55578,21053300,135
2018,8,Highlands County,FL,emily,TD,29,1,1,13,477.496,92.68,30,1006,4,0.002141135,13.3,120,41026,55578,19023000,119
2018,9,Highlands County,FL,emily,TD,29,1,1,14,477.496,93.489,30,1006,4,0.002051171,13.3,120,41026,55578,18248000,114
2018,10,Highlands County,FL,emily,TD,29,1,1,15,477.496,84.451,30,1006,4,0.001925222,13.3,120,41026,55578,16998000,107
2018,11,Highlands County,FL,emily,TD,29,1,1,16,477.496,65.001,30,1006,4,0.001727302,13.3,120,41026,55578,15282000,96
2018,12,Highlands County,FL,emily,TD,29,1,1,17,477.496,58.324,30,1006,4,0.001565368,13.3,120,41026,55578,14436200,87
2019,1,Highlands County,FL,emily,TD,29,1,1,18,477.496,177.017,30,1006,4,0.00138544,13.3,120,41026,55578,13084900,77
2019,2,Highlands County,FL,emily,TD,29,1,1,19,477.496,179.757,30,1006,4,0.00118752,13.3,120,41026,55578,11078900,66
2019,3,Highlands County,FL,emily,TD,29,1,1,20,477.496,236.038,30,1006,4,0.001061571,13.3,120,41026,55578,9720100,59
2019,4,Highlands County,FL,emily,TD,29,1,1,21,477.496,213.793,30,1006,4,0.00079168,13.3,120,41026,55578,7500500,44
2019,5,Highlands County,FL,emily,TD,29,1,1,22,477.496,257.071,30,1006,4,0.000647738,13.3,120,41026,55578,6371500,36
2019,6,Highlands County,FL,emily,TD,29,1,1,23,477.496,273.317,30,1006,4,0.000503796,13.3,120,41026,55578,4692000,28
2019,7,Highlands County,FL,emily,TD,29,1,1,24,477.496,352.028,30,1006,4,0.000305876,13.3,120,41026,55578,2889000,17
2019,8,Highlands County,FL,emily,TD,29,1,1,25,477.496,354.247,30,1006,4,9.00E-05,13.3,120,41026,55578,789000,5
2019,9,Highlands County,FL,emily,TD,29,1,1,26,477.496,264.091,30,1006,4,9.00E-05,13.3,120,41026,55578,789000,5
2019,10,Highlands County,FL,emily,TD,29,1,1,27,477.496,297.031,30,1006,4,9.00E-05,13.3,120,41026,55578,789000,5
2019,11,Highlands County,FL,emily,TD,29,1,1,28,477.496,186.56,30,1006,4,9.00E-05,13.3,120,41026,55578,789000,5
2019,12,Highlands County,FL,emily,TD,29,1,1,29,477.496,4389.05,30,1006,4,9.00E-05,13.3,120,41026,55578,789000,5
2017,9,Hillsborough County,FL,irma,H1,13,1,1,1,1195840.133,1104297.182,80,955,1,0.011702547,11.5,4218,505845,563638,1292668100,6596
2017,10,Hillsborough County,FL,irma,H1,13,1,1,2,1195840.133,1049919.871,80,955,1,0.011911901,11.5,4218,505845,563638,1321192500,6714
2017,11,Hillsborough County,FL,irma,H1,13,1,1,3,1195840.133,737616.319,80,955,1,0.011549966,11.5,4218,505845,563638,1282348700,6510
2017,12,Hillsborough County,FL,irma,H1,13,1,1,4,1195840.133,804940.956,80,955,1,0.011952707,11.5,4218,505845,563638,1281026600,6737
2018,1,Hillsborough County,FL,irma,H1,13,1,1,5,1195840.133,1010362.774,80,955,1,0.011046236,11.2,4736,516478,571869,1235278500,6317
2018,2,Hillsborough County,FL,irma,H1,13,1,1,6,1195840.133,682798.64,80,955,1,0.010787436,11.2,4736,516478,571869,1204574300,6169
2018,3,Hillsborough County,FL,irma,H1,13,1,1,7,1195840.133,595814.424,80,955,1,0.010845141,11.2,4736,516478,571869,1220785400,6202
2018,4,Hillsborough County,FL,irma,H1,13,1,1,8,1195840.133,910342.198,80,955,1,0.010761206,11.2,4736,516478,571869,1203115700,6154
2018,5,Hillsborough County,FL,irma,H1,13,1,1,9,1195840.133,1173580.665,80,955,1,0.010479673,11.2,4736,516478,571869,1175820900,5993
2018,6,Hillsborough County,FL,irma,H1,13,1,1,10,1195840.133,1187921.298,80,955,1,0.010532132,11.2,4736,516478,571869,1188219800,6023
2018,7,Hillsborough County,FL,irma,H1,13,1,1,11,1195840.133,1153300.809,80,955,1,0.010518143,11.2,4736,516478,571869,1179887200,6015
